,id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest,updated_at,guardian1_email,guardian2_email,grade,deliver_test_accomodation_approved,test_date_sign_up,current_school,gpa,language_test_scores2,reading_test_score2,math_test_scores2
503,504,,27.0,46.0,66.0,19,1,14,4,In Processing,,,,,2024-11-04 18:48:45,,,9,,January 18 2025,Mary McLeod Bethune Elementary,,,,
504,505,,37.0,66.0,38.0,16,1,1,14,In Processing,,,,,2024-11-04 20:02:26,,,9,,December 14 2024,Audubon Gentilly,,,,
505,506,,39.0,39.0,37.0,3,1,1,1,In Processing,,,,,2024-11-04 20:23:26,,,9,,April 26 2025 (No-rest option),Edward Hynes Lakeview,,,,
506,507,,39.0,37.0,9.0,3,1,1,1,In Processing,,,,,2024-11-04 23:17:16,,,9,,January 18 2025,KIPP East,,,,
507,508,,,,,0,,,,In Processing,,,,,2024-11-05 6:45:38,,,9,,March 22 2025 (No-rest option),Other,,,,
508,509,30.0,82.0,95.0,93.0,107.0,22,27,28,Eligible,,,,30.0,2024-11-05 12:51:47,,,9,,January 18 2025,Lake Forest Elementary Charter School,3.5,,,
509,510,,,,,0,,,,In Processing,,,,,2024-11-05 14:00:53,,,9,,,Ecole Bilingue,,,,
510,511,,71.0,83.0,80.0,59,16,21,22,In Processing,,,,,2024-11-05 14:22:17,,,11,,January 18 2025,International School of Louisiana,,,,
511,512,,36.0,55.0,51.0,15,1,6,8,In Processing,,,,,2024-11-05 14:33:26,,,9,,December 14 2024,Dorothy Height Charter School,,,,
512,513,,56.0,33.0,24.0,11,9,1,1,In Processing,,,,,2024-11-05 14:33:44,,,9,,December 14 2024,Dorothy Height Charter School,,,,
513,514,,36.0,34.0,70.0,18,1,16,1,In Processing,,,,,2024-11-05 15:22:45,,,9,,January 18 2025,Mary McLeod Bethune Elementary,,,,
514,515,,,,,0,,,,In Processing,,,,,2024-11-05 15:29:30,,,9,,,Benjamin Franklin Elementary,,,,
515,516,30.0,86.0,90.0,91.0,106.0,24,26,26,Eligible,,,,30.0,2024-11-05 19:24:13,,,9,,December 14 2024,Morris Jeff Community School,3.88,,,
516,517,25.0,92.0,88.0,96.0,106.0,27,29,25,Eligible,,,,25.0,2024-11-05 20:05:50,,,9,,January 18 2025,Isidore Newman,3.0,,,
517,518,,19.0,37.0,16.0,3,1,1,1,In Processing,,,,,2024-11-05 20:40:52,,,9,,December 14 2024,Other,,,,
518,519,,58.0,36.0,23.0,12,10,1,1,In Processing,,,,,2024-11-05 21:34:53,,,11,,March 22 2025 (No-rest option),International School of Louisiana,,,,
519,520,30.0,97.0,97.0,99.0,118.0,29,30,29,Eligible,,,,30.0,2024-11-06 8:40:58,,,9,,December 14 2024,The Willow School,4.0,,,
520,521,,,,,0,,,,In Processing,,,,,2024-11-06 9:01:34,,,9,,,KIPP Morial,,,,
521,522,,,,,0,,,,In Processing,,,,,2024-11-06 9:07:18,,,10,,April 26 2025 (No-rest option),Other,,,,
522,523,30.0,96.0,97.0,90.0,114.0,29,26,29,Eligible,,,,30.0,2024-11-06 9:58:40,,,9,,December 14 2024,Audubon Uptown Montessori and French,4.0,,,
523,524,,38.0,35.0,86.0,26,1,24,1,In Processing,,,,,2024-11-14 13:29:44,,,9,,March 22 2025 (No-rest option),Morris Jeff Community School,,,,
524,525,,6.0,33.0,1.0,3,1,1,1,In Processing,,,,,2024-11-06 11:20:42,,,9,,April 26 2025 (No-rest option),Elan Academy,,,,
525,526,,,,,0,,,,In Processing,,,,,2024-11-06 11:41:19,,,9,,February 15 2025 (No-rest option),International School of Louisiana,,,,
526,527,,74.0,70.0,54.0,42,18,8,16,In Processing,,,,,2024-11-06 13:27:15,,,9,,April 26 2025 (No-rest option),Benjamin Franklin Elementary,,,,
527,528,,51.0,54.0,41.0,15,6,1,8,In Processing,,,,,2024-11-06 16:17:25,,,9,,March 22 2025 (No-rest option),Audubon Uptown Montessori and French,,,,
528,529,,46.0,54.0,51.0,18,4,6,8,In Processing,,,,,2024-11-06 17:30:44,,,9,,January 18 2025,Dorothy Height Charter School,,,,
529,530,30.0,98.0,98.0,99.0,120.0,30,30,30,Eligible,,,,30.0,2024-11-06 18:44:29,,,9,,January 18 2025,The Willow School,4.0,,,
