id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest,updated_at,guardian1_email,guardian2_email,grade,deliver_test_accomodation_approved,test_date_sign_up,current_school,gpa
673,nan,64.0,84.0,74.0,54.0,13.0,18.0,23.0,In Processing,nan,nan,nan,nan,2024-11-21 14:38:45,nan,nan,9,nan,January 18 2025,Homer Plessy Community School,nan
674,30.0,76.0,99.0,93.0,106.0,19.0,27.0,30.0,Eligible,nan,nan,nan,nan,2024-11-21 15:06:58,nan,nan,9,Test Accommodations Approved,December 14 2024,Martin Behrman Charter School,3.5
675,30.0,72.0,87.0,72.0,88.0,17.0,17.0,24.0,Eligible,nan,nan,nan,nan,2024-11-21 17:21:04,nan,nan,9,nan,December 14 2024,International School of Louisiana,4.0
676,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-21 18:02:47,nan,nan,9,nan,nan,Mary McLeod Bethune Elementary,nan
677,18.0,79.0,82.0,80.0,81.0,20.0,21.0,22.0,In Processing,1.0,1.0,4.0,24.0,2024-12-04 14:13:16,nan,nan,9,nan,March 22 2025 (No-rest option),Edward Hynes Lakeview,2.38
678,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-22 11:55:10,nan,nan,9,nan,March 22 2025 (No-rest option),Other,nan
679,nan,54.0,48.0,43.0,15.0,8.0,2.0,5.0,In Processing,nan,nan,nan,nan,2024-11-22 13:35:31,nan,nan,9,nan,December 14 2024,International School of Louisiana,nan
680,nan,22.0,33.0,37.0,3.0,1.0,1.0,1.0,In Processing,nan,nan,nan,nan,2024-11-22 14:31:30,nan,nan,9,nan,April 26 2025 (No-rest option),Audubon Gentilly,nan
681,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-22 17:41:02,nan,nan,9,nan,nan,St. Paul's Episcopal School,nan
682,nan,76.0,71.0,9.0,36.0,19.0,1.0,16.0,In Processing,nan,nan,nan,nan,2024-11-23 11:08:35,nan,nan,10,nan,December 14 2024,Other,nan
683,30.0,99.0,99.0,99.0,120.0,30.0,30.0,30.0,Eligible,nan,nan,nan,nan,2024-11-23 12:11:56,nan,nan,9,nan,December 14 2024,The Willow School,4.0
684,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-23 12:55:29,nan,nan,9,nan,December 14 2024,KIPP Central City,nan
685,27.0,80.0,82.0,41.0,71.0,21.0,1.0,22.0,Eligible,29.0,18.0,24.0,98.0,2024-11-23 15:46:09,nan,nan,9,nan,March 22 2025 (No-rest option),Lake Forest Elementary Charter School,3.25
686,nan,37.0,36.0,72.0,19.0,1.0,17.0,1.0,In Processing,nan,nan,nan,nan,2024-11-23 17:01:45,nan,nan,9,nan,January 18 2025,Phillis Wheatley Community School,nan
687,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-23 20:10:47,nan,nan,10,nan,December 14 2024,Other,nan
688,nan,84.0,94.0,48.0,56.0,23.0,5.0,28.0,In Processing,nan,nan,nan,nan,2024-11-24 19:59:57,nan,nan,9,nan,January 18 2025,Ursuline Academy,nan
689,nan,12.0,21.0,20.0,3.0,1.0,1.0,1.0,In Processing,nan,nan,nan,nan,2024-11-24 21:20:09,nan,nan,9,nan,December 14 2024,Other,nan
690,nan,90.0,93.0,89.0,78.0,26.0,25.0,27.0,In Processing,nan,nan,nan,nan,2024-12-17 22:32:27,nan,nan,10,nan,January 18 2025,Other,nan
691,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-26 10:10:12,nan,nan,9,nan,April 26 2025 (No-rest option),St. George's Episcopal School,nan
692,nan,16.0,39.0,61.0,13.0,1.0,11.0,1.0,In Processing,nan,nan,nan,nan,2024-11-26 10:13:28,nan,nan,9,nan,January 18 2025,Renew Dolores T. Aaron Academy,nan
693,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-11-27 17:03:18,nan,nan,9,nan,nan,Other,nan
694,30.0,nan,nan,nan,30.0,nan,nan,nan,Eligible,30.0,30.0,30.0,120.0,2024-11-28 9:09:10,nan,nan,9,nan,February 15 2025 (No-rest option),Homer Plessy Community School,4.0
695,nan,35.0,35.0,28.0,3.0,1.0,1.0,1.0,In Processing,nan,nan,nan,nan,2024-11-28 16:06:42,nan,nan,9,nan,April 26 2025 (No-rest option),Homer Plessy Community School,nan
696,nan,46.0,40.0,38.0,6.0,4.0,1.0,1.0,In Processing,nan,nan,nan,nan,2025-01-08 13:40:41,nan,nan,9,nan,April 26 2025 (No-rest option),Alice Harte Charter School,nan
697,nan,52.0,92.0,33.0,35.0,7.0,1.0,27.0,In Processing,nan,nan,nan,nan,2024-11-29 9:16:57,nan,nan,9,nan,April 26 2025 (No-rest option),Bricolage Academy,nan
698,30.0,96.0,99.0,99.0,119.0,29.0,30.0,30.0,Eligible,nan,nan,nan,nan,2024-11-29 11:57:40,nan,nan,9,nan,December 14 2024,The Willow School,4.0
699,27.0,87.0,97.0,66.0,94.0,24.0,14.0,29.0,Eligible,nan,nan,nan,nan,2024-11-29 22:19:16,nan,nan,9,nan,January 18 2025,Homer Plessy Community School,3.37
700,nan,21.0,57.0,29.0,11.0,1.0,1.0,9.0,In Processing,nan,nan,nan,nan,2024-11-30 17:31:56,nan,nan,9,nan,December 14 2024,Homer Plessy Community School,nan
701,nan,56.0,65.0,20.0,23.0,9.0,1.0,13.0,In Processing,nan,nan,nan,nan,2024-11-30 10:43:27,nan,nan,9,nan,December 14 2024,KIPP East,nan
702,30.0,76.0,99.0,94.0,107.0,19.0,28.0,30.0,Eligible,nan,nan,nan,nan,2024-12-01 10:04:29,nan,nan,9,nan,January 18 2025,The Willow School,4.0
703,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-01 15:00:01,nan,nan,10,nan,nan,International School of Louisiana,nan
704,nan,42.0,63.0,41.0,15.0,2.0,1.0,12.0,In Processing,nan,nan,nan,nan,2024-12-02 14:40:06,nan,nan,9,nan,April 26 2025 (No-rest option),Benjamin Franklin Elementary,nan
705,nan,34.0,57.0,38.0,11.0,1.0,1.0,9.0,In Processing,nan,nan,nan,nan,2024-12-02 14:42:03,nan,nan,9,nan,April 26 2025 (No-rest option),Benjamin Franklin Elementary,nan
706,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,3.0,26.0,27.0,56.0,2024-12-02 14:47:31,nan,nan,9,nan,February 15 2025 (No-rest option),Dorothy Height Charter School,nan
707,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-02 15:45:40,nan,nan,9,nan,nan,Andrew H. Wilson Charter School,nan
708,nan,35.0,61.0,86.0,36.0,1.0,24.0,11.0,In Processing,nan,nan,nan,nan,2024-12-02 17:27:52,nan,nan,9,nan,January 18 2025,Lake Forest Elementary Charter School,nan
709,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-02 17:47:53,nan,nan,9,nan,nan,Audubon Gentilly,nan
710,nan,38.0,61.0,41.0,13.0,1.0,1.0,11.0,In Processing,nan,nan,nan,nan,2024-12-02 20:05:19,nan,nan,9,nan,April 26 2025 (No-rest option),Edward Hynes Lakeview,nan
711,25.0,81.0,82.0,74.0,86.0,21.0,18.0,22.0,In Processing,nan,nan,nan,nan,2024-12-02 20:36:56,nan,nan,9,Test Accommodations Approved,April 26 2025 (No-rest option),Audubon Uptown Montessori and French,3.0
712,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,wrIW,nan,2024-12-02 21:42:48,nan,nan,9,nan,January 18 2025,International School of Louisiana,nan
713,nan,81.0,71.0,55.0,45.0,21.0,8.0,16.0,In Processing,nan,nan,nan,nan,2024-12-02 22:48:22,nan,nan,10,nan,January 18 2025,Other,nan
714,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-03 5:20:32,nan,nan,9,nan,nan,Bricolage Academy,nan
715,nan,72.0,70.0,37.0,34.0,17.0,1.0,16.0,In Processing,nan,nan,nan,nan,2024-12-03 6:45:30,nan,nan,9,nan,April 26 2025 (No-rest option),Morris Jeff Community School,nan
716,30.0,99.0,96.0,99.0,119.0,30.0,30.0,29.0,In Processing,nan,nan,nan,nan,2024-12-03 6:53:18,nan,nan,10,nan,January 18 2025,Other,3.75
717,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-03 7:50:16,nan,nan,9,nan,February 15 2025 (No-rest option),Bricolage Academy,nan
718,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2024-12-03 9:19:53,nan,nan,9,nan,nan,Benjamin Franklin Elementary,nan
