id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest,updated_at,guardian1_email,guardian2_email,grade,deliver_test_accomodation_approved,test_date_sign_up,current_school,gpa
865,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-07 19:33:29,nan,nan,9,nan,nan,Einstein Middle School,nan
866,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-07 20:06:11,nan,nan,9,nan,nan,Audubon Uptown Montessori and French,nan
867,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-07 21:47:21,nan,nan,11,nan,April 26 2025 (No-rest option),Other,nan
868,nan,77.0,85.0,99.0,72.0,19.0,30.0,23.0,In Processing,nan,nan,nan,nan,2025-01-08 10:56:45,nan,nan,9,nan,January 18 2025,The Willow School,nan
869,23.0,86.0,99.0,91.0,103.0,24.0,26.0,30.0,Eligible,nan,nan,nan,nan,2025-01-08 10:38:16,nan,nan,9,nan,January 18 2025,Other,2.88
870,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-08 11:29:43,nan,nan,10,nan,March 22 2025 (No-rest option),Other,nan
871,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-08 11:33:10,nan,nan,9,nan,nan,Fannie C. Williams Charter School,nan
872,nan,61.0,78.0,37.0,32.0,11.0,1.0,20.0,In Processing,nan,nan,nan,nan,2025-01-08 11:43:01,nan,nan,9,nan,January 18 2025,Mary McLeod Bethune Elementary,nan
873,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-08 22:21:05,nan,nan,9,nan,nan,Esperanza Charter School,nan
874,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-08 22:23:32,nan,nan,9,nan,January 18 2025,Esperanza Charter School,nan
875,nan,86.0,81.0,73.0,62.0,24.0,17.0,21.0,In Processing,nan,nan,nan,nan,2025-01-08 23:39:57,nan,nan,10,nan,January 18 2025,Lycee Francais de la Nouvelle Orleans,nan
876,nan,66.0,73.0,90.0,57.0,14.0,26.0,17.0,In Processing,nan,nan,nan,nan,2025-01-09 6:48:10,nan,nan,9,nan,April 26 2025 (No-rest option),Other,nan
877,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-09 10:07:13,nan,nan,11,nan,April 26 2025 (No-rest option),Isidore Newman,nan
878,nan,37.0,57.0,29.0,11.0,1.0,1.0,9.0,In Processing,nan,nan,nan,nan,2025-01-09 12:10:07,nan,nan,9,nan,January 18 2025,Harriet Tubman Charter School,nan
879,30.0,nan,nan,nan,30.0,nan,nan,nan,Eligible,22.0,30.0,28.0,110.0,2025-01-09 13:06:22,nan,nan,10,Test Accommodations Approved,March 22 2025 (No-rest option),The Willow School,3.7
880,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-09 13:55:01,nan,nan,9,nan,nan,Other,nan
881,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,10.0,18.0,24.0,52.0,2025-01-09 14:12:21,nan,nan,11,nan,February 15 2025 (No-rest option),Other,nan
882,nan,nan,nan,nan,nan,nan,nan,nan,NLSa,nan,nan,nan,nan,2025-01-09 14:28:08,nan,nan,9,nan,nan,Morris Jeff Community School,nan
883,nan,88.0,78.0,66.0,59.0,25.0,14.0,20.0,cgKc,nan,nan,nan,nan,2025-01-14 17:43:54,nan,nan,10,nan,April 26 2025 (No-rest option),Other,nan
884,nan,60.0,76.0,37.0,31.0,11.0,1.0,19.0,In Processing,nan,nan,nan,nan,2025-01-09 16:25:45,nan,nan,9,nan,January 18 2025,Other,nan
885,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-09 16:21:37,nan,nan,9,nan,nan,Elan Academy,nan
886,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,2.0,4.0,2025-01-09 20:59:51,nan,nan,9,nan,March 22 2025 (No-rest option),Other,nan
887,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,13.0,9.0,22.0,44.0,2025-01-09 17:58:10,nan,nan,9,nan,February 15 2025 (No-rest option),Kipp Believe,nan
888,nan,23.0,39.0,33.0,3.0,1.0,1.0,1.0,In Processing,nan,nan,nan,nan,2025-01-09 21:25:47,nan,nan,9,nan,April 26 2025 (No-rest option),St. Augustine High School,nan
889,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,1.0,3.0,2025-01-10 8:26:15,nan,nan,11,nan,February 15 2025 (No-rest option),Morris Jeff Community School,nan
890,27.0,nan,nan,nan,27.0,nan,nan,nan,Eligible,22.0,27.0,30.0,106.0,2025-01-10 8:33:49,nan,nan,9,nan,February 15 2025 (No-rest option),The Willow School,3.25
891,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-10 9:24:32,nan,nan,10,nan,nan,Other,nan
892,nan,nan,nan,nan,0.0,nan,nan,nan,ve29,nan,nan,nan,nan,2025-01-10 9:37:49,nan,nan,10,nan,nan,Academy of the Sacred Heart,nan
893,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,14.0,10.0,27.0,51.0,2025-01-10 12:08:59,nan,nan,9,nan,February 15 2025 (No-rest option),Other,nan
894,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-10 12:04:47,nan,nan,10,nan,April 26 2025 (No-rest option),Other,nan
895,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,12.0,9.0,26.0,47.0,2025-01-10 15:47:21,nan,nan,9,nan,February 15 2025 (No-rest option),Other,nan
896,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,11.0,2.0,21.0,34.0,2025-01-10 16:23:11,nan,nan,10,nan,February 15 2025 (No-rest option),Other,nan
897,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,10.0,17.0,10.0,37.0,2025-01-10 19:04:51,nan,nan,9,nan,February 15 2025 (No-rest option),Foundation Preparatory Charter,nan
898,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,1.0,3.0,2025-01-10 20:40:38,nan,nan,10,nan,March 22 2025 (No-rest option),Other,nan
899,30.0,nan,nan,nan,30.0,nan,nan,nan,Eligible,8.0,26.0,25.0,89.0,2025-01-10 21:32:07,nan,nan,9,nan,February 15 2025 (No-rest option),The Willow School,nan
900,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-10 22:51:59,nan,nan,11,nan,April 26 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans,nan
901,30.0,nan,nan,nan,30.0,nan,nan,nan,In Processing,25.0,19.0,29.0,103.0,2025-01-11 7:26:06,nan,nan,9,nan,March 22 2025 (No-rest option),Other,4.0
902,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,7.0,1.0,21.0,29.0,2025-01-11 20:44:49,nan,nan,9,nan,February 15 2025 (No-rest option),Other,nan
903,22.0,nan,nan,nan,22.0,nan,nan,nan,Eligible,26.0,29.0,29.0,106.0,2025-01-11 22:31:14,nan,nan,9,nan,February 15 2025 (No-rest option),Audubon Gentilly,2.75
904,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,6.0,8.0,2025-01-11 22:55:52,nan,nan,9,nan,February 15 2025 (No-rest option),Samuel J. Green Charter School,nan
905,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-12 20:57:33,nan,nan,10,nan,nan,International School of Louisiana,nan
906,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,2.0,1.0,4.0,2025-01-13 8:05:22,nan,nan,9,nan,March 22 2025 (No-rest option),Edward Hynes Lakeview,nan
907,nan,nan,nan,nan,0.0,nan,nan,nan,0fw2,nan,nan,nan,nan,2025-01-16 15:14:11,nan,nan,11,nan,February 15 2025 (No-rest option),International School of Louisiana,nan
908,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,9.0,4.0,20.0,33.0,2025-01-13 14:35:25,nan,nan,9,nan,March 22 2025 (No-rest option),Other,nan
909,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,12.0,1.0,2.0,15.0,2025-01-13 18:40:54,nan,nan,9,nan,February 15 2025 (No-rest option),Kipp Believe,nan
910,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-13 22:41:07,nan,nan,9,nan,nan,Phillis Wheatley Community School,nan
911,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-13 23:03:54,nan,nan,9,nan,nan,Bricolage Academy,nan
912,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-14 9:43:02,nan,nan,9,nan,April 26 2025 (No-rest option),Other,nan
913,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-14 17:04:17,nan,nan,10,nan,nan,KIPP Morial,nan
914,nan,nan,nan,nan,nan,nan,nan,3Nqg,In Processing,nan,nan,nan,nan,2025-01-14 21:50:58,nan,nan,9,nan,nan,Renew Robert Russa Moton: Lakefront:,nan
915,30.0,nan,nan,nan,30.0,nan,nan,nan,Eligible,24.0,17.0,27.0,98.0,2025-01-14 22:31:51,nan,nan,9,nan,February 15 2025 (No-rest option),International School of Louisiana,3.75
916,30.0,nan,nan,nan,30.0,nan,nan,nan,Eligible,27.0,23.0,30.0,110.0,2025-01-15 11:37:54,nan,nan,10,nan,March 22 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans,4.0
917,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,17.0,22.0,16.0,55.0,2025-02-25 11:10:51,nan,nan,9,nan,March 22 2025 (No-rest option),Benjamin Franklin Elementary,nan
918,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-15 16:18:09,nan,nan,9,nan,nan,Other,nan
919,30.0,nan,nan,nan,30.0,nan,nan,nan,Eligible,14.0,27.0,18.0,89.0,2025-01-17 23:21:12,nan,nan,9,nan,March 22 2025 (No-rest option),Renew Laurel Elementary,3.88
920,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-15 21:44:58,nan,nan,9,nan,nan,Alice Harte Charter School,nan
921,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-16 8:42:35,nan,nan,9,nan,February 15 2025 (No-rest option),Other,nan
922,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-16 13:38:49,nan,nan,9,nan,nan,Success at Thurgood Marshall,nan
923,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-16 17:52:51,nan,nan,9,nan,nan,KIPP Leadership,nan
924,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-17 10:33:28,nan,nan,9,nan,February 15 2025 (No-rest option),Dorothy Height Charter School,nan
925,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-17 14:45:41,nan,nan,11,nan,April 26 2025 (No-rest option),Other,nan
926,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-17 16:51:10,nan,nan,10,nan,April 26 2025 (No-rest option),Other,nan
927,30.0,nan,nan,nan,30.0,nan,nan,nan,Eligible,26.0,21.0,19.0,96.0,2025-01-17 18:17:11,nan,nan,9,nan,February 15 2025 (No-rest option),Bricolage Academy,3.88
928,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,13.0,15.0,2025-01-17 18:51:57,nan,nan,9,nan,February 15 2025 (No-rest option),Bricolage Academy,nan
929,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,4.0,19.0,24.0,2025-01-18 13:40:19,nan,nan,9,nan,March 22 2025 (No-rest option),Mary McLeod Bethune Elementary,nan
930,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,8.0,17.0,17.0,42.0,2025-01-18 19:37:26,nan,nan,9,nan,February 15 2025 (No-rest option),Audubon Gentilly,nan
931,30.0,nan,nan,nan,30.0,nan,nan,nan,Eligible,27.0,30.0,26.0,113.0,2025-01-19 21:37:18,nan,nan,10,nan,February 15 2025 (No-rest option),The Willow School,3.8
932,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,1.0,3.0,2025-01-22 11:07:40,nan,nan,11,nan,February 15 2025 (No-rest option),Other,nan
933,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,9.0,6.0,18.0,33.0,2025-01-22 11:09:54,nan,nan,9,nan,February 15 2025 (No-rest option),Other,nan
934,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,20.0,9.0,22.0,51.0,2025-01-22 12:53:20,nan,nan,9,nan,March 22 2025 (No-rest option),Audubon Uptown Montessori and French,nan
935,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,10.0,7.0,22.0,39.0,2025-01-22 17:55:52,nan,nan,10,nan,February 15 2025 (No-rest option),Cabrini High School,nan
936,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-22 16:45:47,nan,nan,10,nan,February 15 2025 (No-rest option),Einstein Middle School,nan
937,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,20.0,12.0,15.0,47.0,2025-01-22 17:20:46,nan,nan,10,nan,February 15 2025 (No-rest option),Other,nan
938,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,15.0,15.0,16.0,46.0,2025-01-23 15:02:46,nan,nan,9,nan,February 15 2025 (No-rest option),Mount Carmel Academy,nan
939,30.0,nan,nan,nan,30.0,nan,nan,nan,Eligible,20.0,28.0,24.0,102.0,2025-01-23 16:38:41,nan,nan,9,nan,February 15 2025 (No-rest option),International School of Louisiana,3.5
940,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-23 22:29:35,nan,nan,9,nan,March 22 2025 (No-rest option),Lake Forest Elementary Charter School,nan
941,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-30 10:39:04,nan,nan,9,nan,April 26 2025 (No-rest option),International School of Louisiana,nan
942,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-24 12:56:24,nan,nan,9,nan,nan,Elan Academy,nan
943,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-30 10:39:33,nan,nan,9,nan,April 26 2025 (No-rest option),International School of Louisiana,nan
944,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-25 8:05:04,nan,nan,10,nan,April 26 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans,nan
945,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-25 13:21:40,nan,nan,9,nan,March 22 2025 (No-rest option),KIPP Leadership,nan
946,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,18.0,5.0,11.0,34.0,2025-01-26 9:32:19,nan,nan,11,nan,February 15 2025 (No-rest option),Other,nan
947,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,3.0,1.0,2.0,6.0,2025-01-26 20:37:51,nan,nan,9,nan,February 15 2025 (No-rest option),Other,nan
948,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-27 10:43:41,nan,nan,10,nan,March 22 2025 (No-rest option),Other,nan
949,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-27 12:44:08,nan,nan,11,nan,nan,Other,nan
950,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-27 20:51:06,nan,nan,9,nan,nan,Kipp Believe,nan
951,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-28 14:42:25,nan,nan,9,nan,nan,KIPP Morial,nan
vaTd,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-28 17:41:08,nan,nan,9,nan,March 22 2025 (No-rest option),Ursuline Academy,nan
953,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-03-10 18:03:54,nan,nan,9,nan,April 26 2025 (No-rest option),YACS at Lawrence D. Crocker,nan
954,25.0,nan,nan,nan,25.0,nan,nan,nan,In Processing,25.0,25.0,30.0,105.0,2025-01-28 19:36:47,nan,nan,10,nan,February 15 2025 (No-rest option),Other,nan
955,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,3.0,1.0,28.0,32.0,2025-01-28 20:03:34,nan,nan,11,VmuO,March 22 2025 (No-rest option),International School of Louisiana,nan
956,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,1.0,3.0,2025-01-29 9:24:00,nan,nan,9,nan,March 22 2025 (No-rest option),Homer Plessy Community School,nan
957,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-29 10:00:02,nan,nan,9,nan,nan,Foundation Preparatory Charter,nan
958,nan,nan,nan,nan,nan,jcoJ,nan,nan,In Processing,nan,nan,nan,nan,2025-01-29 11:40:32,nan,nan,9,nan,nan,Mary McLeod Bethune Elementary,nan
959,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,24.0,16.0,23.0,63.0,2025-01-29 16:01:43,nan,nan,10,nan,March 22 2025 (No-rest option),Other,nan
960,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-29 17:22:29,nan,nan,9,nan,nan,Other,nan
961,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-29 20:30:14,nan,nan,10,nan,nan,Other,nan
962,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-29 20:26:01,nan,nan,9,nan,February 15 2025 (No-rest option),Esperanza Charter School,nan
963,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-30 11:12:36,nan,nan,9,nan,nan,Other,nan
964,9tFu,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-30 14:39:20,nan,nan,9,nan,March 22 2025 (No-rest option),Other,nan
965,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-30 15:20:53,nan,nan,9,nan,nan,Success at Thurgood Marshall,nan
966,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,rWIh,nan,nan,2025-01-30 16:15:45,nan,nan,10,nan,nan,Other,nan
967,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,1.0,3.0,2025-01-30 20:32:24,nan,nan,9,nan,February 15 2025 (No-rest option),Capdau S.T.E.A.M. School,nan
968,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-30 17:46:19,nan,nan,9,nan,nan,Bricolage Academy,nan
969,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,6.0,1.0,KCfY,2025-01-30 18:46:37,nan,nan,9,nan,February 15 2025 (No-rest option),Capdau S.T.E.A.M. School,nan
970,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,1.0,3.0,2025-01-30 18:41:30,nan,nan,9,nan,February 15 2025 (No-rest option),Morris Jeff Community School,nan
971,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-01-31 16:46:16,nan,nan,9,nan,nan,Dwight D. Eisenhower Charter School,nan
972,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,15.0,1.0,11.0,27.0,2025-02-01 16:33:41,nan,nan,11,nan,March 22 2025 (No-rest option),Other,nan
973,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-01 19:23:29,nan,nan,9,nan,April 26 2025 (No-rest option),The Willow School,nan
974,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,11.0,3.0,16.0,30.0,2025-02-01 19:44:54,nan,nan,9,nan,February 15 2025 (No-rest option),Mary McLeod Bethune Elementary,nan
975,25.0,nan,nan,nan,25.0,nan,nan,nan,Eligible,29.0,30.0,25.0,109.0,2025-02-02 16:26:00,nan,nan,9,nan,February 15 2025 (No-rest option),Isidore Newman,3.0
976,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-02 22:24:57,nan,nan,9,nan,nan,Alice Harte Charter School,nan
977,nan,17.0,71.0,49.0,22.0,1.0,5.0,16.0,In Processing,nan,nan,nan,nan,2025-02-04 16:37:36,nan,nan,9,nan,nan,Capdau S.T.E.A.M. School,nan
978,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-03-18 11:05:14,nan,nan,9,nan,April 26 2025 (No-rest option),Other,nan
979,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-03 15:32:23,nan,nan,9,nan,nan,Arthur Ashe Charter School,nan
980,28.0,nan,nan,nan,28.0,nan,nan,nan,Eligible,26.0,30.0,20.0,104.0,2025-02-06 10:40:19,nan,nan,10,nan,February 15 2025 (No-rest option),Other,3.33
981,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,4.0,18.0,12.0,34.0,2025-02-04 15:15:55,nan,nan,9,nan,March 22 2025 (No-rest option),Morris Jeff Community School,nan
982,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,5.0,1.0,9.0,15.0,2025-02-04 17:42:18,nan,nan,9,nan,March 22 2025 (No-rest option),Bricolage Academy,nan
983,C4TJ,nan,nan,nan,0.0,nan,nan,nan,Eligible,24.0,30.0,26.0,80.0,2025-02-04 20:49:03,nan,nan,9,nan,February 15 2025 (No-rest option),The Willow School,nan
984,nan,nan,nan,nan,Y28S,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-05 20:48:55,nan,nan,10,nan,March 22 2025 (No-rest option),Other,nan
985,nan,nan,nan,nan,0.0,9imt,nan,nan,In Processing,1.0,1.0,6.0,8.0,2025-02-05 0:36:31,nan,nan,9,nan,March 22 2025 (No-rest option),Kipp Believe,nan
986,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-06 10:11:36,nan,nan,10,nan,nan,Ursuline Academy,nan
987,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-06 17:05:27,nan,nan,10,nan,April 26 2025 (No-rest option),Other,nan
988,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-08 12:51:12,nan,nan,9,nan,nan,Capdau S.T.E.A.M. School,nan
989,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-10 17:28:38,nan,nan,9,nan,nan,Renew Laurel Elementary,nan
990,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-10 20:50:44,nan,nan,9,nan,March 22 2025 (No-rest option),KIPP Morial,nan
991,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-11 3:24:18,nan,nan,10,nan,April 26 2025 (No-rest option),Morris Jeff Community School,nan
992,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,25.0,23.0,49.0,2025-02-11 8:24:13,nan,nan,9,nan,March 22 2025 (No-rest option),KIPP Morial,nan
993,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,7.0,1.0,14.0,22.0,2025-02-11 12:08:49,nan,nan,9,nan,March 22 2025 (No-rest option),KIPP Leadership,nan
994,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-13 10:37:15,nan,nan,11,nan,April 26 2025 (No-rest option),The Willow School,nan
995,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,3.0,5.0,2025-02-13 16:21:16,nan,nan,9,nan,March 22 2025 (No-rest option),Other,nan
996,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-14 6:39:59,nan,nan,11,nan,nan,Morris Jeff Community School,nan
997,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-14 10:58:51,nan,nan,10,nan,April 26 2025 (No-rest option),Other,nan
998,30.0,nan,nan,nan,30.0,nan,nan,nan,Eligible,25.0,26.0,23.0,104.0,2025-02-15 11:02:56,nan,nan,9,nan,March 22 2025 (No-rest option),The Willow School,4.0
999,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-17 12:10:20,nan,nan,10,nan,April 26 2025 (No-rest option),Other,nan
1000,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-25 18:23:07,nan,nan,10,nan,April 26 2025 (No-rest option),Other,nan
1001,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,1.0,3.0,5.0,2025-02-18 11:20:05,nan,nan,9,nan,March 22 2025 (No-rest option),Other,nan
1002,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,71Nk,2025-02-18 14:11:15,nan,nan,9,nan,nan,Other,nan
1003,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-18 22:08:11,nan,nan,10,nan,April 26 2025 (No-rest option),Other,nan
1004,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,14.0,4.0,4.0,22.0,2025-02-19 11:18:33,nan,nan,9,nan,March 22 2025 (No-rest option),Other,nan
1005,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-19 14:25:42,nan,nan,11,nan,April 26 2025 (No-rest option),Other,nan
1006,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-19 15:50:35,nan,nan,9,nan,April 26 2025 (No-rest option),The Willow School,nan
1007,30.0,nan,nan,nan,30.0,nan,nan,nan,In Processing,13.0,25.0,24.0,92.0,2025-02-20 20:59:06,nan,nan,9,nan,March 22 2025 (No-rest option),Other,4.0
1008,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-21 16:57:15,nan,nan,9,nan,March 22 2025 (No-rest option),Other,nan
1009,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-23 17:02:01,nan,nan,10,nan,nan,Other,nan
1010,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,25.0,16.0,20.0,61.0,2025-02-23 17:56:02,nan,nan,11,nan,March 22 2025 (No-rest option),Other,nan
1011,nan,nan,nan,nan,nan,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-24 15:22:00,nan,nan,10,nan,April 26 2025 (No-rest option),Lycee Francais de la Nouvelle Orleans,nan
1012,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-25 20:04:23,nan,nan,11,nan,April 26 2025 (No-rest option),Other,nan
1013,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,1.0,6.0,10.0,17.0,2025-02-26 5:27:19,nan,nan,9,nan,March 22 2025 (No-rest option),International School of Louisiana,nan
1014,nan,nan,nan,nan,0.0,nan,nan,nan,In Processing,nan,nan,nan,nan,2025-02-26 11:00:17,nan,nan,11,nan,April 26 2025 (No-rest option),Other,nan
